Day,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,sum
Friday,44016,47772,53516,32413,25594,21933,10813,19353,21453,24442,46049,38057,385411
Monday,56927,40359,33835,46333,28933,16836,15889,21644,25785,37066,32298,39202,395107
Saturday,48368,39918,51790,26528,22704,17065,7528,11833,24022,26468,35485,38250,349959
Sunday,42922,36514,34183,34719,19451,13512,7100,14064,19626,22384,27512,41800,313787
Thursday,49593,58931,47835,38272,38983,21708,18042,29874,23314,26509,44729,43205,440995
Tuesday,45832,64348,41614,52625,29959,17962,15422,25891,27163,40335,35115,41147,437413
Wednesday,41006,63221,46898,42591,37077,21441,21301,23907,26094,26650,53497,44298,447981
